43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
43,38,39,40,43,43,43,38,39,40,43,43,38,39,40
43,57,58,59,43,43,43,57,58,59,43,43,57,58,59
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
43,43,43,43,38,39,40,43,43,43,43,43,43,43,43
43,43,43,43,57,58,59,43,43,43,38,39,40,43,43
43,43,43,43,43,43,43,43,43,43,57,58,59,43,43
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
