43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
43,38,39,40,38,39,40,38,39,40,43,38,39,40,43,43,38,39,40,38,39,40
43,57,58,59,57,58,59,57,58,59,43,57,58,59,43,43,57,58,59,57,58,59
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
1,43,43,38,39,40,43,38,39,40,43,43,43,43,0,0,0,0,0,0,0,0
1,1,43,57,58,59,43,57,58,59,43,43,43,0,0,0,0,0,0,0,0,0
1,1,1,43,43,43,43,43,43,43,43,43,0,0,0,0,0,0,0,0,0,0
1,1,1,1,43,41,42,41,42,43,43,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,43,60,61,60,61,43,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
